,name,starting_median_salary,zip,tier,sat_avg_2013,asian_or_pacific_share,black_share,hisp_share,alien_share,city,population_in_2010,par_median
86,Vassar College,46000.0,12604,2,1405.0,0.087916665,0.054583333,0.048749997999999996,0.040416665,Poughkeepsie,32736,145100
87,Middlebury College,47700.0,5753,2,1365.0,0.035844008999999996,0.015893098,0.035844008999999996,0.088229559,Middlebury,8496,219600
89,Boston University,49000.0,2215,4,1300.0,0.11005107,0.027218139,0.046635613,0.09343958599999999,Boston,617594,126800
90,Hofstra University,46800.0,11549,6,1140.0,0.048148940999999994,0.086882092,0.0637706,0.00010699764,New York,8175133,105300
91,Pratt Institute,43800.0,11205,8,1130.0,0.10026827,0.075117372,0.075117372,0.14520456,New York,8175133,96100
92,Pace University,53200.0,10038,6,1050.0,0.15186794,0.1397046,0.12250217,0.060469157999999995,New York,8175133,68600
93,Seton Hall University,48900.0,7079,6,1130.0,0.061632425,0.09587266300000001,0.086063296,0.025356282999999997,South Orange,16170,100900
94,Rider University,43600.0,8648,6,1025.0,0.029200574,0.074437529,0.039971277,0.019626616,Lawrence Township,33496,102100
97,Northeastern University,50500.0,2115,4,1420.0,0.058556259000000006,0.047529098,0.030324688,0.057688382,Boston,617594,108300
98,Syracuse University,45700.0,13244,4,1175.0,0.044970129000000005,0.073147103,0.037542387999999996,0.033909254,Syracuse,145170,119700
99,Colby College,46400.0,4901,2,1330.0,0.045203969000000004,0.025358325,0.022601984,0.030319735,Waterville,15722,208700
101,Siena College,45500.0,12211,6,1120.0,0.022269677,0.019829163,0.023489932999999998,0.0042708968,Albany,304204,116800
103,Hamilton College,49200.0,13323,2,1390.0,0.039093483,0.039660055,0.036827195,0.032294616,Clinton,1942,164600
104,Wellesley College,42800.0,2481,2,1385.0,0.23261915,0.058154788,0.055094011,0.063839093,Wellesley,27982,142500
105,Widener University,52900.0,19013,6,1025.0,0.023709195,0.12974207,0.015685301000000002,0.0090263328,Chester,33972,96000
107,Philadelphia University,45100.0,19144,6,1075.0,0.032395869,0.10893556,0.023495905,0.027055891000000002,Philadelphia,1526006,99600
109,Adelphi University,40600.0,11530,6,1115.0,0.029686997000000003,0.1226202,0.06711842900000001,0.040980961,Garden City,22371,96300
111,Fairleigh Dickinson University,45700.0,7666,6,963.0601199999999,0.053506099,0.12103658,0.088871948,0.059908535,Teaneck,39814,87000
112,Quinnipiac University,43000.0,6518,4,1090.0,0.019202973999999998,0.023332644,0.029940118999999998,0.0033037374,Hamden,879,127000
114,Skidmore College,41600.0,12866,4,1240.0,0.035903715,0.023663811,0.049775599999999996,0.010199918,Saratoga Springs,26586,175400
115,Moravian College,42500.0,18018,6,1020.0,0.011607661000000002,0.016250726,0.02495647,0.010446895,Bethlehem,71133,97100
116,Suffolk University,42100.0,2108,6,1040.0,0.054392088,0.038976147999999995,0.043339152,0.15706806,Boston,617594,88100
118,Niagara University,36900.0,14109,6,1035.0,0.0076829763,0.040841084,0.019409625,0.048119694000000005,Niagara County,216479,92300
